"Window","Quick Access","Alt+Right","Terminal Widget in Focus"
"Edit","Find and Replace","Alt+R","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Refactor - JavaScript","Inline","Alt+Shift+I","JavaScript View"
"File","Save","Ctrl+S","In Windows"
"Views","Show View (History)","Alt+Shift+Q, Z","In Windows"
"Edit","Toggle Block Selection","Alt+Shift+A","Editing Text"
"Navigate","Previous Page","Ctrl+Shift+F5","In Faces Config Editor"
"Search","References in Project","Ctrl+Shift+R","In Windows"
"Terminal view commands","Terminal view insert","Alt+Y","Terminal Typing Connected"
"Text Editing","Line Up","Ctrl+P","Editing Text"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Spy","Plug-in Selection Spy","Alt+Shift+F1","In Dialogs and Windows"
"SVN","Update to Revision","Ctrl+Alt+D","In Windows"
"Terminal view commands","Copy","Ctrl+Insert","Terminal Widget in Focus"
"Window","Previous Editor","Ctrl+Shift+Tab","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Alt+Shift+Up","In Tasks View"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Views","Show View (Outline)","Alt+Shift+Q, O","In Windows"
"Text Editing","Next Word","Alt+F","Editing Text"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context"
"Text Editing","Cut to Beginning of Line","Alt+0, Ctrl+K","Editing Text"
"Database Tools","Debug","Ctrl+Alt+D","Editing SQL"
"Views","Show View (Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Window","Next View","Ctrl+F7","In Windows"
"Text Editing","Duplicate Lines","Ctrl+Alt+Up","Editing Text"
"File","Rename","F2","In Windows"
"Edit","Redo","Ctrl+X, R","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Z","Editing Text"
"Source","Add Block Comment","Ctrl+Shift+/","Editing JavaScript Source"
"Focused UI","Focus on Active Task","Alt+Shift+H","In Windows"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing JavaScript Source"
"Terminal view commands","Terminal view insert","Alt+V","Terminal Typing Connected"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Refactor - JavaScript","Show Refactor Quick Menu","Alt+Shift+T","JavaScript View"
"Text Editing","Text Start","Ctrl+X, [","Editing Text"
"Run/Debug","Run Ant Build","Alt+Shift+X, Q","In Windows"
"Edit","Copy","Esc, W","In Dialogs and Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Navigate","Next Page","Ctrl+F5","Using Web Page Editor"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Focused UI","Make Landmark","Ctrl+Alt+Shift+Up","In Windows"
"Views","JavaScript Type Hierarchy","Alt+Shift+Q, T","JavaScript View"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Text Editing","Cut to End of Line","Ctrl+K","Editing Text"
"Source","Quick Assist - Assign to var","Ctrl+2, F","Editing JavaScript Source"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Text Editing","Next Column","Ctrl+F","Editing Text"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Database Tools","Goto Matching Token","Ctrl+Shift+P","Editing SQL"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Text Editing","To Upper Case","Ctrl+Shift+U","Editing Text"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Select Previous Element","Alt+Shift+Left","Editing in Structured Text Editors"
"Window","Toggle Split Editor (Vertical)","Ctrl+{","In Windows"
"SVN","Show Revision Graph...","Ctrl+Alt+Y","In Windows"
"Run/Debug","Debug XSLT Transformation","Alt+Shift+D, X","In Windows"
"Terminal view commands","Paste","Shift+Insert","Terminal Widget in Focus"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Source","Organize Imports","Ctrl+Shift+O","JavaScript View"
"Edit","Redo","Ctrl+\","In Dialogs and Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Edit","Add Maven Dependency","Ctrl+Shift+D","Editing XML Source"
"Source","Surround With Quick Menu","Alt+Shift+Z","JavaScript View"
"Server","Run","Ctrl+Alt+R","In Servers View"
"Database Tools","Execute Current Text","Alt+S","Editing SQL"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Navigate","Open Type Hierarchy","Ctrl+C, T","In Windows"
"Edit","Select Next Element","Alt+Shift+Right","Editing Java Source"
"Edit","Word Completion","Alt+/","Editing Text"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Window","Quick Switch Editor","Ctrl+X, B","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing JavaScript Source"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing in Structured Text Editors"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"SVN","URL...","Ctrl+Alt+R","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Text Editing","Clear Mark","Ctrl+G","Editing Text"
"Navigate","Previous Page","Alt+Shift+F7","In Windows"
"File","New menu","Alt+Shift+N","In Windows"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing Java Source"
"Text Editing","Select Previous Word","Ctrl+Shift+Left","Editing Text"
"File","Save All","Ctrl+X, S","In Windows"
"Git","Copy Path to Clipboard","Ctrl+C","In Git Repositories View"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Terminal view commands","Terminal view insert","Alt+B","Terminal Typing Connected"
"Edit","Delete","Delete","In Windows"
"Window","Previous Perspective","Ctrl+Shift+F8","In Windows"
"Views","Show View ()","Alt+Shift+Q, D","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"File","New","Ctrl+N","In Windows"
"Views","Show View (Variables)","Alt+Shift+Q, V","In Windows"
"Text Editing","Recenter","Ctrl+L","Editing Text"
"Navigate","Previous","Ctrl+,","In Windows"
"Manifest Editor Source","Format Source","Ctrl+Shift+F","PDE editor"
"Run/Debug","Run Eclipse Application","Alt+Shift+X, E","In Windows"
"Task Repositories","Mark Task Read","Alt+Shift+R","In Tasks Editor"
"Edit","Cut","Ctrl+W","In Dialogs and Windows"
"Search","Show Occurrences in File Quick Menu","Ctrl+Shift+U","JavaScript View"
"Text Editing","Text End","Ctrl+X, ]","Editing Text"
"Navigate","Go to Line","Ctrl+X, G","Editing Text"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
